OBJECTID,Name,AU_ID,Area_SQ_MI,AU_Size,MERGE_SRC,OID_,Shape_Leng,Shape_Area,curr_are,TotArea,sqMi23
1320,MA95_43,MA95-43,7.48174000000,0.00000000000,BuzzardsBay_all_subbasins,0,27380.00000000000,20347275.32170000000,7.85613635729,7.48000000000,7.48173915035
1321,MA95_44,MA95-44,0.83884900000,0.00000000000,BuzzardsBay_all_subbasins,0,9580.09320003000,2172694.48285000000,0.83884896101,0.84000000000,0.83884885397
1324,MA95_12,MA95-12,21.08690000000,0.00000000000,BuzzardsBay_all_subbasins,0,52040.15520000000,55583920.48490000000,21.46100219720,21.08000000000,21.08692924500
1325,MA95_06,MA95-06,28.11090000000,0.00000000000,BuzzardsBay_all_subbasins,0,63459.80100000000,72806113.37050000000,28.11092209020,28.11000000000,28.11092181550
1326,MA95_04,MA95-04,56.82050000000,0.00000000000,BuzzardsBay_all_subbasins,0,88980.23600000000,147159099.46700000000,56.82053425370,56.80000000000,56.82053367030
1327,MA95_36,MA95-36,24.18000000000,0.00000000000,BuzzardsBay_all_subbasins,0,72880.00000000000,62625700.00000000000,24.17999330780,24.17000000000,24.17999225980
1328,MA95_45,MA95-45,1.51311000000,0.00000000000,BuzzardsBay_all_subbasins,0,12360.04200000000,3919090.68598000000,1.51310779256,1.51000000000,1.51310767062
1329,MA95_57,MA95-57,9.21992000000,0.00000000000,BuzzardsBay_all_subbasins,0,32240.00000000000,24849169.21670000000,9.59431038993,9.21000000000,9.21991554571
1330,MA95_58,MA95-58,10.58880000000,0.00000000000,BuzzardsBay_all_subbasins,0,37100.00000000000,27235991.36450000000,10.51570264000,10.58000000000,10.58883321000
1331,MA95_86,MA95-86,7.68121000000,0.00000000000,BuzzardsBay_all_subbasins,0,38832.02209760000,19893597.22370000000,7.68121362361,7.68000000000,7.68121359388
1332,MA95_85,MA95-85,12.74370000000,0.00000000000,BuzzardsBay_all_subbasins,0,48020.00000000000,33005100.00000000000,12.74371584310,12.74000000000,12.74371576480
1333,MA95_84,MA95-84,0.61098100000,0.00000000000,BuzzardsBay_all_subbasins,0,9480.00000000000,1582500.00000000000,0.61098085205,0.61000000000,0.61098076355
1334,MA95_83,MA95-83,3.45742000000,0.00000000000,BuzzardsBay_all_subbasins,0,21800.00000000000,8955100.00000000000,3.45741799044,3.46000000000,3.45741797715
1335,MA95_82,MA95-82,3.83422000000,0.00000000000,BuzzardsBay_all_subbasins,0,19420.00000000000,9930900.00000000000,3.83421892070,3.83000000000,3.83418122359
1336,MA95_80,MA95-80,0.11524600000,0.00000000000,BuzzardsBay_all_subbasins,0,3135.38130587000,298487.70929000000,0.11524600315,0.12000000000,0.11524600817
1337,MA95_75,MA95-75,9.04848000000,0.00000000000,BuzzardsBay_all_subbasins,0,32360.00000000000,23246391.36450000000,8.97534799452,9.04000000000,9.04847856510
1338,MA95_74,MA95-74,9.81672000000,0.00000000000,BuzzardsBay_all_subbasins,0,35660.00000000000,25424600.00000000000,9.81672353798,9.81000000000,9.81672353796
1339,MA95_73,MA95-73,0.96214800000,0.00000000000,BuzzardsBay_all_subbasins,0,10280.00000000000,2492100.00000000000,0.96214824896,0.96000000000,0.96214824896
