OBJECTID,Name,AU_ID,Area_SQ_MI,AU_Size,MERGE_SRC,OID_,LU_Stats,Shape_Leng,Shape_Area
180,MA93_37,MA93-37,2.27870000000,0.00000000000,New Group Layer\NorthCoastal_all_subbasinsup59,0,,17040.00000000000,5901800.00000000000
181,MA93_38,MA93-38,5.27427000000,0.00000000000,New Group Layer\NorthCoastal_all_subbasinsup59,0,,21140.00000000000,13660300.00000000000
182,MA93_39,MA93-39,10.94780000000,0.00000000000,New Group Layer\NorthCoastal_all_subbasinsup59,0,,37900.84785230000,28354659.08770000000
183,MA93_45,MA93-45,6.85177000000,0.00000000000,New Group Layer\NorthCoastal_all_subbasinsup59,0,,31380.00000000000,17746000.00000000000
184,MA93_32,MA93-32,1.36746000000,0.00000000000,New Group Layer\NorthCoastal_all_subbasinsup59,0,,14420.00000000000,3541700.00000000000
185,MA93_50,MA93-50,2.99337000000,0.00000000000,New Group Layer\NorthCoastal_all_subbasinsup59,0,,22640.00000000000,7752800.00000000000
186,MA93_47,MA93-47,1.04437000000,0.00000000000,New Group Layer\NorthCoastal_all_subbasinsup59,0,,11360.00000000000,2704900.00000000000
187,MA93_48,MA93-48,3.33005000000,0.00000000000,New Group Layer\NorthCoastal_all_subbasinsup59,0,,21960.00000000000,8624800.00000000000
188,MA93_27,MA93-27,1.49846000000,0.00000000000,New Group Layer\NorthCoastal_all_subbasinsup59,0,,15200.00000000000,3881000.00000000000
189,MA93_29,MA93-29,5.34107000000,0.00000000000,New Group Layer\NorthCoastal_all_subbasinsup59,0,,28180.00000000000,13833300.00000000000
190,MA93_59,MA93-59,1.77101000000,0.00000000000,New Group Layer\NorthCoastal_all_subbasinsup59,0,,14580.00000000000,4586900.00000000000
191,MA93_58,MA93-58,1.54607000000,0.00000000000,New Group Layer\NorthCoastal_all_subbasinsup59,0,,14100.00000000000,4004300.00000000000
192,MA93_61,MA93-61,1.33221000000,0.00000000000,New Group Layer\NorthCoastal_all_subbasinsup59,0,,13780.00000000000,3450400.00000000000
193,MA93_64,MA93-64,0.80988800000,0.00000000000,New Group Layer\NorthCoastal_all_subbasinsup59,0,,9520.00000000000,2097600.00000000000
194,MA93_65,MA93-65,0.65745500000,0.00000000000,New Group Layer\NorthCoastal_all_subbasinsup59,0,,8520.00000000000,1702800.00000000000
195,MA93_66,MA93-66,1.63800000000,0.00000000000,New Group Layer\NorthCoastal_all_subbasinsup59,0,,14180.00000000000,4242400.00000000000
196,MA81_01,MA81-01,58.81260000000,0.00000000000,New Group Layer\Nashua_all_subbasins,0,,100060.14940000000,152323907.34000000000
197,MA81_02,MA81-02,86.56670000000,0.00000000000,New Group Layer\Nashua_all_subbasins,0,,130720.20300000000,224206703.79900000000
198,MA81_03,MA81-03,99.96910000000,0.00000000000,New Group Layer\Nashua_all_subbasins,0,,134660.13820000000,258918806.47700000000
199,MA81_04,MA81-04,134.22200000000,0.00000000000,New Group Layer\Nashua_all_subbasins,0,,172060.08520000000,347634204.89400000000
200,MA81_05,MA81-05,343.45000000000,0.00000000000,New Group Layer\Nashua_all_subbasins,0,,267279.95140000000,889531507.67000000000
